beat_name,beat_code,area,route,team_id
"AJABPUR RACE COURSE","AJA","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"CLEMENT TOWN","CLE","CLEMENT TOWN","CLEMENT TOWN",JA
"CLEMENT TOWN II","CLE","CLEMENT TOWN II","CLEMENT TOWN II",JA
"CORNITOS DEV","COR","CORNITOS DEV","CORNITOS DEV",JA
"DEHRA KHAS","DEH","DEHRA KHAS","DEHRA KHAS",JA
"DHARAMPUR 1ST","DHA","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"DHARAMPUR 2ND","DHA","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"DOON HOSPITAL","DOO","DOON HOSPITAL","DOON HOSPITAL",JA
"FRESH N EASY","FRE","FRESH N EASY","FRESH N EASY",JA
"FUWARA CHOWK","FUW","FUWARA CHOWK","FUWARA CHOWK",JA
"HANUMAN CHOWK","HAN","HANUMAN CHOWK","HANUMAN CHOWK",JA
"HARRAWALA","HAR","HARRAWALA","HARRAWALA",JA
"ITBP-GOVIND GARH","ITB","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"KARANPUR","KAR","KARANPUR","KARANPUR",JA
"KARGI","KAR","KARGI","KARGI",JA
"KAULAGARH","KAU","KAULAGARH","KAULAGARH",JA
"KEDARPURAM","KED","KEDARPURAM","KEDARPURAM",JA
"MOHKAMPUR","MOH","MOHKAMPUR","MOHKAMPUR",JA
"MUSSOORIE","MUS","MUSSOORIE","MUSSOORIE",JA
"NESHVILLA ROAD","NES","NESHVILLA ROAD","NESHVILLA ROAD",JA
"OUTER","OUT","OUTER","OUTER",JA
"PALTAN BAZAR","PAL","PALTAN BAZAR","PALTAN BAZAR",JA
"PANDITVARI","PAN","PANDITVARI","PANDITVARI",JA
"PATEL NAGAR","PAT","PATEL NAGAR","PATEL NAGAR",JA
"PREM NAGAR","PRE","PREM NAGAR","PREM NAGAR",JA
"RAIPUR","RAI","RAIPUR","RAIPUR",JA
"RAJPUR LOWER","RAJ","RAJPUR LOWER","RAJPUR LOWER",JA
"RAJPUR UPPER","RAJ","RAJPUR UPPER","RAJPUR UPPER",JA
"RISHIKESH","RIS","RISHIKESH","RISHIKESH",JA
"SAHARANPUR","SAH","SAHARANPUR","SAHARANPUR",JA
"SD ROAD","SD ","SD ROAD","SD ROAD",JA
"SUVIDHA","SUV","SUVIDHA","SUVIDHA",JA