name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"SD C MADHUR IMLI 200GM","SD C MADHUR IMLI 200GM","SD C MADHUR IMLI 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MADRASI SAUNF 200GM","SD C MADRASI SAUNF 200GM","SD C MADRASI SAUNF 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MANGO BITE 160G","SD C MANGO BITE 160G","SD C MANGO BITE 160G","","SHADANI","SHADANI",110,"160GM",outOfStock,0,5,pcs,1,MA
"SD C MANGO SLICE 200GM","SD C MANGO SLICE 200GM","SD C MANGO SLICE 200GM","","SHADANI","SHADANI",103.33,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MIXFRUIT CANDY 230GM","SD C MIXFRUIT CANDY 230GM","SD C MIX FRUIT CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C ORANGE CANDY 230GM","SD C ORANGE CANDY 230GM","SD C ORANGE CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C PAAN MIX SAUNF 200GM","SD C PAAN MIX SAUNF 200GM","SD C PAAN MIX SAUNF 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C PAAN CANDY 230GM","SD C PAAN CANDY 230GM","SD C PAAN CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C PLAIN MIXSAUNF 215GM","SD C PLAIN MIXSAUNF 215GM","SD C PLAIN MIXSAUNF 215GM","","SHADANI","SHADANI",96.67,"215GM",outOfStock,0,5,pcs,1,MA
"SD C PODINA LADDU 200GM","SD C PODINA LADDU 200GM","SD C PODINA LADDU 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C RAM LADOO 200GM","SD C RAM LADOO 200GM","SD C RAM LADOO 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C SHAHI MIXSAUNF 170GM","SD C SHAHI MIXSAUNF 170GM","SD C SHAHI MIXSAUNF 170GM","","SHADANI","SHADANI",103.33,"170GM",outOfStock,0,5,pcs,1,MA
"SD C SUGCOA SAUNF 270GM","SD C SUGCOA SAUNF 270GM","SD C SUGAR COATED SAUNF 270GM","","SHADANI","SHADANI",96.67,"270GM",outOfStock,0,5,pcs,1,MA
"SD C SWEET AMLA 200GM","SD C SWEET AMLA 200GM","SD C SWEET AMLA 200GM","","SHADANI","SHADANI",103.33,"200GM",outOfStock,0,5,pcs,1,MA
"SD C SWEET IMLI 140GM","SD C SWEET IMLI 140GM","SD C SWEET IMLI 140GM","","SHADANI","SHADANI",96.67,"140GM",outOfStock,0,5,pcs,1,MA
"SD BOX KHATTA AAMPAPAD","SD BOX KHATTA AAMPAPAD","SD BOX KHATTA AAMPAPAD","","SHADANI","SHADANI",428.57,"20 UNIT",outOfStock,0,5,pcs,1,MA
"SD BOX MEETHA AAMPAPAD","SD BOX MEETHA AAMPAPAD","SD BOX MEETHA AAMPAPAD","","SHADANI","SHADANI",428.57,"20 UNIT",outOfStock,0,5,pcs,1,MA
"SD P ANARDANA GOLI 100GM","SD P ANARDANA GOLI 100GM","SD P ANARDANA GOLI 100GM","","SHADANI","SHADANI",386.67,"100GM",outOfStock,0,5,pcs,1,MA
"SD P CHATPATI CANDY 100GM","SD P CHATPATI CANDY 100GM","SD P CHATPATI CANDY 100GM","","SHADANI","SHADANI",320,"100GM",outOfStock,0,5,pcs,1,MA
"SD P HING PEDA 100GM","SD P HING PEDA 100GM","SD P HING PEDA 100GM","","SHADANI","SHADANI",413.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P IMLI BITE 100GM","SD P IMLI BITE 100GM","SD P IMLI BITE 100GM","","SHADANI","SHADANI",566.67,"100GM",outOfStock,0,5,pcs,1,MA
"SD P JELLY JELLY 100GM","SD P JELLY JELLY 100GM","SD P JELLY JELLY 100GM","","SHADANI","SHADANI",453.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P KHAMEE AAMPAK 100GM","SD P KHAMEE AAMPAK 100GM","SD P KHATA MEETHA AAMPAK 100GM","","SHADANI","SHADANI",453.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P MADHUR IMLI 100GM","SD P MADHUR IMLI 100GM","SD P MADHUR IMLI 100GM","","SHADANI","SHADANI",386.67,"100GM",outOfStock,0,5,pcs,1,MA
"SD P MIXFRUIT CANDY 100GM","SD P MIXFRUIT CANDY 100GM","SD P MIXFRUIT CANDY 100GM","","SHADANI","SHADANI",320,"100GM",outOfStock,0,5,pcs,1,MA
"SD P ORANGE CANDY 100GM","SD P ORANGE CANDY 100GM","SD P ORANGE CANDY 100GM","","SHADANI","SHADANI",320,"100GM",outOfStock,0,5,pcs,1,MA
"SD P PAAN CANDY 100GM","SD P PAAN CANDY 100GM","SD P PAAN CANDY 100GM","","SHADANI","SHADANI",320,"100GM",outOfStock,0,5,pcs,1,MA
"SD P PAANMIX SAUNF 100GM","SD P PAANMIX SAUNF 100GM","SD P PAANMIX SAUNF 100GM","","SHADANI","SHADANI",453.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P PLAIN MIXSAUNF 100GM","SD P PLAIN MIXSAUNF 100GM","SD P PLAIN MIXSAUNF 100GM","","SHADANI","SHADANI",413.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P SHAHI MIXSAUNF 100GM","SD P SHAHI MIXSAUNF 100GM","SD P SHAHI MIXSAUNF 100GM","","SHADANI","SHADANI",453.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P SWEET IMLI 70GM","SD P SWEET IMLI 70GM","SD P SWEET IMLI 70GM","","SHADANI","SHADANI",366.67,"70GM",outOfStock,0,5,pcs,1,MA
"SD P SWEET AMLA 100GM","SD P SWEET AMLA 100GM","SD P SWEET AMLA 100GM","","SHADANI","SHADANI",453.33,"100GM",outOfStock,0,5,pcs,1,MA
"SD P MANGO BITE 100GM","SD P MANGO BITE 100GM","SD P SWEET MANGO BITE 100GM","","SHADANI","SHADANI",566.67,"100GM",outOfStock,0,5,pcs,1,MA
"SD JELLY POP ASSORTED","SD JELLY POP ASSORTED","SD JELLY POP ASSORTED","","SHADANI","SHADANI",1280,"PCS",outOfStock,0,5,pcs,1,MA
"OI PINK ROCK SALT 1KG","OI PINK ROCK SALT 1KG","OI PINK ROCK SALT 1KG","8309","ORGANIC INDIA","ORGANIC INDIA",120,"1KG",outOfStock,0,0,pcs,1,MA
"OI MUSTARD OIL 1000ML","OI MUSTARD OIL 1000ML","OI MUSTARD OIL 1000ML","8311","ORGANIC INDIA","ORGANIC INDIA",388.57,"1L",outOfStock,0,5,pcs,1,MA
"OI SUNFLOWER 1000ML","OI SUNFLOWER 1000ML","OI SUNFLOWER 1000ML","8312","ORGANIC INDIA","ORGANIC INDIA",437.14,"1L",outOfStock,0,5,pcs,1,MA
"OI GROUNDNUT OIL 1000ML","OI GROUNDNUT OIL 1000ML","OI GROUNDNUT OIL 1000ML","8313","ORGANIC INDIA","ORGANIC INDIA",445.22,"1L",outOfStock,0,5,pcs,1,MA
"OI ASHWAGANDHA  60CAP","OI ASHWAGANDHA  60CAP","OI ASHWAGANDHA  60CAP","8316","ORGANIC INDIA","ORGANIC INDIA",198.1,"PCS",outOfStock,0,5,pcs,1,MA
"OI BEAUTIFUL SKIN 60CAP","OI BEAUTIFUL SKIN 60CAP","OI BEAUTIFUL SKIN 60CAP","8318","ORGANIC INDIA","ORGANIC INDIA",205.71,"PCS",outOfStock,0,5,pcs,1,MA
"OI BOWELCARE 60CAP","OI BOWELCARE 60CAP","OI BOWELCARE 60CAP","8319","ORGANIC INDIA","ORGANIC INDIA",205.71,"PCS",outOfStock,0,5,pcs,1,MA
"OI BREATHFREE 60CAP","OI BREATHFREE 60CAP","OI BREATHFREE 60CAP","8320","ORGANIC INDIA","ORGANIC INDIA",217.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI BRAHMI 60CAP","OI BRAHMI 60CAP","OI BRAHMI 60CAP","8321","ORGANIC INDIA","ORGANIC INDIA",198.1,"PCS",outOfStock,0,5,pcs,1,MA
"OI CINNAMON 60CAP","OI CINNAMON 60CAP","OI CINNAMON 60CAP","8322","ORGANIC INDIA","ORGANIC INDIA",190.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI FLAXSEED OIL 60CAP","OI FLAXSEED OIL 60CAP","OI FLAXSEED OIL 60CAP","8323","ORGANIC INDIA","ORGANIC INDIA",377.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI FLEXIBLITY 60CAP","OI FLEXIBLITY 60CAP","OI FLEXIBLITY 60CAP","8324","ORGANIC INDIA","ORGANIC INDIA",217.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI IMMUNITY 60CAP","OI IMMUNITY 60CAP","OI IMMUNITY 60CAP","8325","ORGANIC INDIA","ORGANIC INDIA",217.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI MORINGA 60CAP","OI MORINGA 60CAP","OI MORINGA 60CAP","8327","ORGANIC INDIA","ORGANIC INDIA",198.1,"PCS",outOfStock,0,5,pcs,1,MA
"OI NEEM 60CAP","OI NEEM 60CAP","OI NEEM 60CAP","8328","ORGANIC INDIA","ORGANIC INDIA",198.1,"PCS",outOfStock,0,5,pcs,1,MA
"OI OSTEISEAL 60CAP","OI OSTEISEAL 60CAP","OI OSTEISEAL 60CAP","8329","ORGANIC INDIA","ORGANIC INDIA",190.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI PROSTATE CARE 60CAP","OI PROSTATE CARE 60CAP","OI PROSTATE CARE 60CAP","8330","ORGANIC INDIA","ORGANIC INDIA",190.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI LIVER KIDNERY 60CAP","OI LIVER KIDNERY 60CAP","OI LIVER KIDNERY 60CAP","8331","ORGANIC INDIA","ORGANIC INDIA",205.71,"PCS",outOfStock,0,5,pcs,1,MA
"OI TURMERIC 60CAP","OI TURMERIC 60CAP","OI TURMERIC 60CAP","8332","ORGANIC INDIA","ORGANIC INDIA",247.62,"PCS",outOfStock,0,5,pcs,1,MA
"OI TRIPHALA 60CAP","OI TRIPHALA 60CAP","OI TRIPHALA 60CAP","8333","ORGANIC INDIA","ORGANIC INDIA",203.43,"PCS",outOfStock,0,5,pcs,1,MA
"OI WT BALANCE 60CAP","OI WT BALANCE 60CAP","OI WT BALANCE 60CAP","8336","ORGANIC INDIA","ORGANIC INDIA",217.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI WOMEN'S WELLBEING 60CA","OI WOMEN'S WELLBEING 60CA","OI WOMEN'S WELLBEING 60CA","8337","ORGANIC INDIA","ORGANIC INDIA",217.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI SPIRULINA 120TAB","OI SPIRULINA 120TAB","OI SPIRULINA 120TAB","8341","ORGANIC INDIA","ORGANIC INDIA",339.05,"PCS",outOfStock,0,5,pcs,1,MA
"OI DESI KHANDSARI-SUGAR 5","OI DESI KHANDSARI-SUGAR 5","OI DESI KHANDSARI-SUGAR 5","","ORGANIC INDIA","ORGANIC INDIA",91.43,"500GM",outOfStock,0,5,pcs,1,MA
"OI GOKSHURA 60CAP","OI GOKSHURA 60CAP","OI GOKSHURA 60CAP","","ORGANIC INDIA","ORGANIC INDIA",205.71,"PCS",outOfStock,0,5,pcs,1,MA
"OI AMLA POWDER 200G","OI AMLA POWDER 200G","OI AMLA POWDER 200G","15152","ORGANIC INDIA","ORGANIC INDIA",227.81,"PCS",outOfStock,0,5,pcs,1,MA
"OI SHATAVARI 60CAP","OI SHATAVARI 60CAP","OI SHATAVARI 60CAP","8334","ORGANIC INDIA","ORGANIC INDIA",198.1,"PCS",outOfStock,0,5,pcs,1,MA
"OI SUGAR BALANCE 60CAP","OI SUGAR BALANCE 60CAP","OI SUGAR BALANCE 60CAP","8335","ORGANIC INDIA","ORGANIC INDIA",217.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI OH BOY 30CAP","OI OH BOY 30CAP","OI OH BOY 30CAP","8340","ORGANIC INDIA","ORGANIC INDIA",456.38,"PCS",outOfStock,0,5,pcs,1,MA
"OI T HONEY LEMON 25TB","OI T HONEY LEMON 25TB","OI T HONEY LEMON 25TB","8276","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T GINGER TURMEIC 25S","OI T GINGER TURMEIC 25S","OI T GINGER TURMEIC 25S","8270","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T MASALA CHAI 25S TB","OI T MASALA CHAI 25S TB","OI T MASALA CHAI 25S TB","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T TEA JASMINE 25S TB","OI T TEA JASMINE 25S TB","OI T TEA JASMINE 25S TB","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T LEMON GINGER 25S TB","OI T LEMON GINGER 25S TB","OI T LEMON GINGER 25S TB","8261","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T POMEGRANATE 25S TB","OI T POMEGRANATE 25S TB","OI T POMEGRANATE 25S TB","8262","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T ASHWAGANDHA 25S TB","OI T ASHWAGANDHA 25S TB","OI T ASHWAGANDHA 25S TB","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T ORIGINAL 25S TB","OI T ORIGINAL 25S TB","OI T ORIGINAL 25S TB","","ORGANIC INDIA","ORGANIC INDIA",210.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI T GINGER 25S TB","OI T GINGER 25S TB","OI T GINGER 25S TB","8266","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T MULETHI 25S TB","OI T MULETHI 25S TB","OI T MULETHI 25S TB","","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T SWEET ROSE 25S","OI T SWEET ROSE 25S","OI T SWEET ROSE 25S","","ORGANIC INDIA","ORGANIC INDIA",210.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI T HO-CHAMIMILE 25S TB","OI T HO-CHAMIMILE 25S TB","OI T HO-CHAMIMILE 25S TB","","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T GINER TUMERIC 25S T","OI T GINER TUMERIC 25S T","OI T GINER TUMERIC 25S T","","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T PEPPERMIN 25S TB","OI T PEPPERMIN 25S TB","OI T PEPPERMIN 25S TB","","ORGANIC INDIA","ORGANIC INDIA",210.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI T MORINGA HIBISCUS 25S","OI T MORINGA HIBISCUS 25S","OI T MORINGA HIBISCUS 25S","","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T SIMPLY CHAMOMILE 25S","OI T SIMPLY CHAMOMILE 25S","OI T SIMPLY CHAMOMILE 25S","","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI T ORIGINAL 100G TIN","OI T ORIGINAL 100G TIN","OI T ORIGINAL 100G TIN","8287","ORGANIC INDIA","ORGANIC INDIA",259.05,"PCS",outOfStock,0,5,pcs,1,MA
"OI T GINGER 100G TIN","OI T GINGER 100G TIN","OI T GINGER 100G TIN","8288","ORGANIC INDIA","ORGANIC INDIA",259.05,"PCS",outOfStock,0,5,pcs,1,MA
"OI T TEA CLASSIC 100G TI","OI T TEA CLASSIC 100G TI","OI T TEA CLASSIC 100G TI","","ORGANIC INDIA","ORGANIC INDIA",242.86,"PCS",outOfStock,0,5,pcs,1,MA
"OI T MASALA CHAI 100G TI","OI T MASALA CHAI 100G TI","OI T MASALA CHAI 100G TI","","ORGANIC INDIA","ORGANIC INDIA",214.52,"PCS",outOfStock,0,5,pcs,1,MA
"OI T KASHMIRI KAHWA 100G","OI T KASHMIRI KAHWA 100G","OI T KASHMIRI KAHWA 100G","","ORGANIC INDIA","ORGANIC INDIA",388.57,"PCS",outOfStock,0,5,pcs,1,MA
"OI T GINGER 100G ZIPPER","OI T GINGER 100G ZIPPER","OI T GINGER 100G ZIPPER","","ORGANIC INDIA","ORGANIC INDIA",255,"PC",outOfStock,0,5,pcs,1,MA
"OI QUINOA 500G","OI QUINOA 500G","OI QUINOA 500G","","ORGANIC INDIA","ORGANIC INDIA",224.76,"PCS",outOfStock,0,5,pcs,1,MA
"OI COCONUT OIL VIRGIN 500","OI COCONUT OIL VIRGIN 500","OI COCONUT OIL VIRGIN 500","","ORGANIC INDIA","ORGANIC INDIA",608.76,"500ML",outOfStock,0,5,pcs,1,MA
"OI GHEE 500ML","OI GHEE 500ML","OI GHEE 500ML","","ORGANIC INDIA","ORGANIC INDIA",646.86,"500ML",outOfStock,0,5,pcs,1,MA
"OI HONEY-MULTI FLORA 250G","OI HONEY-MULTI FLORA 250G","OI HONEY-MULTI FLORA 250G","8298","ORGANIC INDIA","ORGANIC INDIA",179.04,"PCS",outOfStock,0,5,pcs,1,MA
"OI MORINGA POWDER 100G","OI MORINGA POWDER 100G","OI MORINGA POWDER 100G","8300","ORGANIC INDIA","ORGANIC INDIA",209.51,"PCS",outOfStock,0,5,pcs,1,MA
"OI PSYLLIUM WHOLE HUSK 10","OI PSYLLIUM WHOLE HUSK 10","OI PSYLLIUM WHOLE HUSK 10","","ORGANIC INDIA","ORGANIC INDIA",210.47,"PCS",outOfStock,0,5,pcs,1,MA
"OI TRIPHALA POWDER 100G C","OI TRIPHALA POWDER 100G C","OI TRIPHALA POWDER 100G C","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI WHEAT GRASS 100G CAN","OI WHEAT GRASS 100G CAN","OI WHEAT GRASS 100G CAN","","ORGANIC INDIA","ORGANIC INDIA",344.04,"PCS",outOfStock,0,5,pcs,1,MA
"OI APPLE CIDER VINEGAR 50","OI APPLE CIDER VINEGAR 50","OI APPLE CIDER VINEGAR 50","8305","ORGANIC INDIA","ORGANIC INDIA",403.38,"500ML",outOfStock,0,18,pcs,1,MA
"OI JAGGERY POWDER 500G","OI JAGGERY POWDER 500G","OI JAGGERY POWDER 500G","","ORGANIC INDIA","ORGANIC INDIA",83.81,"500G",outOfStock,0,5,pcs,1,MA
"OI T DETOX KAHWA 25S","OI T DETOX KAHWA 25S","OI T DETOX KAHWA 25S","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI ARJUNA 60CAP","OI ARJUNA 60CAP","OI ARJUNA 60CAP","","ORGANIC INDIA","ORGANIC INDIA",190.48,"PCS",outOfStock,0,5,pcs,1,MA
"OI T SWEET LEMON 25S","OI T SWEET LEMON 25S","OI T SWEET LEMON 25S","8259","ORGANIC INDIA","ORGANIC INDIA",198.33,"PCS",outOfStock,0,5,pcs,1,MA
"OI STEVIA SACHET 100PCS","OI STEVIA SACHET 100PCS","OI STEVIA SACHET 100PCS","8307","ORGANIC INDIA","ORGANIC INDIA",311.67,"PCS",outOfStock,0,5,pcs,1,MA
"OI T TEA CLASSIC 25S TB","OI T TEA CLASSIC 25S TB","OI T TEA CLASSIC 25S TB","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI T TEA CLASSIC 100G ZI","OI T TEA CLASSIC 100G ZI","OI T TEA CLASSIC 100G ZI","","ORGANIC INDIA","ORGANIC INDIA",238.81,"PCS",outOfStock,0,5,pcs,1,MA
"OI STEVIA JAR 75G","OI STEVIA JAR 75G","OI STEVIA JAR 75G","8314","ORGANIC INDIA","ORGANIC INDIA",182.14,"PCS",outOfStock,0,5,pcs,1,MA
"OI HONEY-MULTI FLORA 500G","OI HONEY-MULTI FLORA 500G","OI HONEY-MULTI FLORA 500G","8299","ORGANIC INDIA","ORGANIC INDIA",342.86,"PCS",outOfStock,0,5,pcs,1,MA
"OI STEVIA SACHET 25PCS","OI STEVIA SACHET 25PCS","OI STEVIA SACHET 25PCS","8306","ORGANIC INDIA","ORGANIC INDIA",85,"PCS",outOfStock,0,5,pcs,1,MA
"OI CHYAWANPRASH 500GM","OI CHYAWANPRASH 500GM","OI CHYAWANPRASH 500GM","8304","ORGANIC INDIA","ORGANIC INDIA",415.24,"PCS",outOfStock,0,5,pcs,1,MA
"SD C IMLI BOOTA 200GM","SD C IMLI BOOTA 200GM","SD C IMLI BOOTA 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MIX TWIST 215GM","SD C MIX TWIST 215GM","SD C MIX TWIST 215GM","","SHADANI","SHADANI",110,"215GM",outOfStock,0,5,pcs,1,MA
"SD C PLAIN BARSAUNF 160GM","SD C PLAIN BARSAUNF 160GM","SD C PLAIN BARSAUNF 160GM","","SHADANI","SHADANI",146.67,"160GM",outOfStock,0,5,pcs,1,MA
"SD BOX JELLY SANDWICH","SD BOX JELLY SANDWICH","SD BOX JELLY SANDWICH","","SHADANI","SHADANI",428.57,"PCS",outOfStock,0,5,pcs,1,MA
"SD JAR HAZMA HAZMA","SD JAR HAZMA HAZMA","SD JAR HAZMA HAZMA","","SHADANI","SHADANI",190.48,"PCS",outOfStock,0,5,pcs,1,MA
